external_id;document_state;document_type;is_first;
keyColumns=external_id

1;Draft;DomesticTransfer;1
2;Draft;null;0
3;AwaitsSignature;null;0
4;Signed;null;0
5;Deleted;null;0
6;SentToRBS;null;0
7;AcceptedInRBS;null;0
8;AcceptedInABS;null;0
9;NotAcceptedInABS;null;0
10;Executed;null;0
11;Revoked;null;0
13;Draft;null;0
22;Draft;AccountTransfer;1
23;Draft;InternationalTransfer;1
52;Draft;Demand;1
42;Draft;null;0
43;AwaitsSignature;null;0
44;Signed;null;0
45;Deleted;null;0
46;SentToRBS;null;0
47;AcceptedInRBS;null;0
48;NotAcceptedInABS;null;0
49;Executed;null;0
50;Executed;null;0
53;AcceptedInRBS;null;0
25;Draft;null;0
26;AwaitsSignature;null;0
27;Signed;null;0
55;Accepted;null;0
56;Pay;null;0
57;Refused;null;0
58;AcceptedInRBS;null;0
