is_deleted;code;job_group_id;name_id;class_name
references=job_group_id:job_group(code), name_id:translation(translation_key); keyColumns=code

0;exposedOrder;documents;job_exposedOrder;jobExposedOrder
0;CURRENCY_RATE_TYPE;integration;job_CURRENCY_RATE_TYPE;jobIntegrator
0;REGION;integration;job_REGION;jobIntegrator
0;CITY;integration;job_CITY;jobIntegrator
0;NOTIFICATIONS;documents;job_NOTIFICATIONS;jobNotifications
0;EXPORT_DOMESTIC_TRANSFER;integration;job_EXPORT_DOMESTIC_TRANSFER;jobIntegrator
0;EXPORT_ACCOUNT_TRANSFER;integration;page_inner_transactions;jobIntegrator
0;EXPORT_INTERNATIONAL;integration;job_EXPORT_INTERNATIONAL;jobIntegrator
0;DOC_STATE_CHANGED;integration;job_DOC_STATE_CHANGED;jobIntegrator
0;ACCOUNT_STATEMENT;integration;job_DOC_STATE_CHANGED;jobIntegrator
0;EXCHANGE_RATE;integration;job_EXCHANGE_RATE;jobIntegrator
0;ACCOUNT;integration;job_ACCOUNT;jobIntegrator
0;CARD;integration;translation_45;jobIntegrator
0;CREDIT;integration;translation_41;jobIntegrator
0;ORGANIZATION;integration;translation_42;jobIntegrator
0;CARD_STATEMENT;integration;translation_40;jobIntegrator
0;PUSH_MESSAGES;documents;vc_keysRequest;jobPushMessages
0;REGISTRATION_CUSTOMER;documents;event_id;jobIntegrator
0;EXPORT_CURR_CONVERSION;documents;job_ACCOUNT;jobIntegrator
0;LOCAL_BANK;integration;job_LOCAL_BANK;jobIntegrator
0;BANK;integration;job_BANK;jobIntegrator
0;PAYMENT_CODE;integration;job_PAYMENT_CODE;jobIntegrator
0;BUDGET_CLASSIFICATION_CODE;integration;job_BUDGET_CLASSIFICATION_CODE;jobIntegrator
0;BENEFICIARY_CODE;integration;job_BENEFICIARY_CODE;jobIntegrator
0;DOCUMENT_IDENTITY;integration;job_DOCUMENT_IDENTITY;jobIntegrator
0;PAY_CARD_P2P;integration;job_PAYCARD;jobIntegrator
0;STANDING_ORDERS;documents;job_STANDING_ORDERS;jobStandingOrders
0;BANK_BRANCH;integration;job_BANK_BRANCH;jobIntegrator
0;CREDIT_SCHEDULE;integration;job_CREDIT_SCHEDULE;jobIntegrator
0;RU_BANK;integration;job_RU_BANK;jobIntegrator
0;DEPOSIT;integration;job_DEPOSIT;jobIntegrator
0;COUNTRY;integration;job_COUNTRY;jobIntegrator
0;CURRENCY;integration;job_CURRENCY;jobIntegrator
0;DEPOSIT_KIND;integration;job_DEPOSIT_KIND;jobIntegrator
0;CREDIT_KIND;integration;job_CREDIT_KIND;jobIntegrator
0;CREDIT_PAYMENT_KIND;integration;job_CREDIT_PAYMENT_KIND;jobIntegrator
0;CARD_PRODUCT_KIND;integration;job_CARD_PRODUCT_KIND;jobIntegrator
0;CARD_KIND;integration;job_CARD_KIND;jobIntegrator
0;CURRENCY;integration;job_CURRENCY;jobIntegrator
0;CALENDAR;integration;job_CALENDAR;jobIntegrator
0;SERVICE_POINT;integration;job_SERVICE_POINT;jobIntegrator
0;SERVICE_POINT_SCHEDULE;integration;job_SERVICE_POINT_SCHEDULE;jobIntegrator
