code;name;name2;external_id;is_for_individuals;
keyColumns=code

002;Комиссионное вознаграждение акционерного общества «Единый накопительный пенсионный фонд», добровольного накопительного пенсионного фонда от суммы пенсионных активов, акционерного общества «Государственный фонд социального страхования» от суммы его активов;;002;0
003;Перевод на инвестиционный счет;;003;0
004;Перевод на счет пенсионных выплат;;004;0
005;Возврат акционерным обществом «Единый накопительный пенсионный фонд» ошибочно зачисленных сумм пени по обязательным профессиональным пенсионным взносам;;005;0
006;Комиссионное вознаграждение доверительного управляющего пенсионными активами акционерного общества «Единый накопительный пенсионный фонд»;;006;0
007;Комиссионное вознаграждение акционерного общества «Единый накопительный пенсионный фонд», добровольного накопительного пенсионного фонда от инвестиционного дохода;;007;0
008;Возврат акционерным обществом «Единый накопительный пенсионный фонд» ошибочно зачисленных сумм по обязательным профессиональным пенсионным взносам;;008;0
009;Пеня за несвоевременное перечисление обязательных профессиональных пенсионных взносов;;009;0
010;Обязательные пенсионные взносы;;010;0
011;Пенсионные выплаты из акционерного общества «Единый накопительный пенсионный фонд» или добровольного накопительного пенсионного фонда, за исключением пенсионных выплат по коду назначения платежа 014;;011;0
012;Обязательные социальные отчисления;;012;0
013;Добровольные пенсионные взносы;;013;0
014;Пенсионные выплаты из акционерного общества «Единый накопительный пенсионный фонд» за счет обязательных пенсионных взносов работодателя;;014;0
015;Обязательные профессиональные пенсионные взносы;;015;0
016;Возврат банком профинансированных средств пенсий и базовых пенсионных выплат;;016;0
017;Пеня за несвоевременное перечисление обязательных социальных отчислений;;017;0
018;Инвестиционный доход,в том числе:инвестиционный доход, полученный от инвестиционной деятельности акционерного общества «Государственный фонд социального страхования»;;018;0
019;Пеня за несвоевременное перечисление обязательных пенсионных взносов;;019;0
020;Удержание сумм из пенсий и пособий, возврат сумм удержаний из пенсий и пособий;;020;0
021;Возврат Республиканским государственным казенным предприятием «Государственный центр по выплате пенсий» ошибочно зачисленных платежей;;021;0
022;Единовременные государственные пособия в связи с рождением ребенка;;022;0
023;Возврат единовременных государственных пособий в связи с рождением ребенка;;023;0
024;Перевод пенсионных накоплений, сформированных за счет добровольных пенсионных взносов, между акционерным обществом «Единый накопительный пенсионный фонд» и/или добровольными накопительными пенсионными фондами;;024;0
