main_id;name_id;code;is_link;link_value
references=main_id:page(code), name_id:translation(translation_key); keyColumns=code

null;page_main_menu;c_root;0;

c_root;page_review;assets;0;
assets;page_accounts;account;1;/accounts
assets;navigation_deposits;deposits;1;/deposits
assets;navigation_credits;credits;1;/credits
assets;navigation_corporatecards;corp_cards;0;/cards
assets;navigation_tasks;tasks;1;

c_root;page_money_transactions;fin_operations;0;
fin_operations;navigation_payments_expo;dompayments;0;/domestic-transfers
fin_operations;navigation_intTransfers_expo;intpayments;0;/international-transfers
fin_operations;payment_service_view;payment_service;0;/services
fin_operations;page_inner_transactions;transfers;0;/account-transfers
fin_operations;navigation_conversion_expo;conversion;0;/account-transfers
fin_operations;navigation_standingOrders;standing_orders;1;/standing-orders

c_root;page_other_transactions;other_operations;0;
other_operations;navigation_invoices;invoices;0;/invoices
other_operations;page_doc_for_signature;docs_sign;0;/documents-for-signature
other_operations;navigation_returns;refunds;0;/domestic-transfers/returns
other_operations;withdraw_doc;reversals;0;/document-withdraws

c_root;page_information_offers;infoAndSuggestions;0;
infoAndSuggestions;navigation_handbookExchangeRates;exchangeRate;0;/exchange-rates
infoAndSuggestions;navigation_statement;statement;0;/accountsStatement
infoAndSuggestions;ps_Active;mail;1;/letter
infoAndSuggestions;page_statements;orders;0;/demands
infoAndSuggestions;navigation_events;history;0;/events
infoAndSuggestions;navigation_personalOffice;personal;1;/personal-page/

c_root;page_handbooks;handbooks;0;
handbooks;page_common;commonHandbooks;0;
handbooks;page_my;userHandbooks;0;
invoices;page_invoices;invoice;0;
invoices;page_expose_orders;exposedorders;0;
