page_id;name_id;code
references=page_id:page(code), name_id:translation(translation_key); keyColumns=code
account;privilege_account_view;account_view
account;privilege_account_new;account_new
account;privilege_account_balances;account_balances
account;privilege_account_excel;account_excel
account;privilege_account_history;account_history
account;privilege_account_statement;account_statement
account;privilege_account_toClose;account_toClose
account;privilege_account_payment;account_payment
account;privilege_account_transfer;account_transfer

deposits;privilege_deposits_view;deposits_view
deposits;privilege_deposits_new;deposits_new
deposits;privilege_deposits_closed;deposits_closed
deposits;privilege_deposits_balances;deposits_balances
deposits;privilege_deposits_statement;deposits_statement
deposits;privilege_deposits_credit;deposits_credit
deposits;privilege_deposits_edit;deposits_edit
deposits;privilege_deposits_history;deposits_history
deposits;privilege_deposits_close;deposits_close
deposits;privilege_deposits_hide;deposits_hide
deposits;privilege_deposits_payment;deposits_payment
deposits;privilege_deposits_payment;deposits_transfer

credits;privilege_credits_view;credits_view
credits;privilege_credits_closed;credits_closed
credits;privilege_credits_balances;credits_balances
credits;privilege_credits_new;credits_new
credits;privilege_credits_history;credits_history
credits;privilege_credits_statement;credits_statement
credits;privilege_credits_close;credits_close
credits;privilege_credits_payment;credits_payment
credits;privilege_credits_hide;credits_hide
credits;privilege_credits_edit;credits_edit

c_root;privilege_root_view;root_view
assets;privilege_assets_view;assets_view

corp_cards;privilege_corpCards_view;corpCards_view
corp_cards;privilege_corpCards_new;corpCards_new
corp_cards;privilege_corpCards_reiss;corpCards_reiss
corp_cards;privilege_corpCards_balance;corpCards_balance
corp_cards;privilege_corpCards_closed;corpCards_closed
corp_cards;privilege_corpCards_blocked_details;corpCards_blocked_details
corp_cards;privilege_corpCards_history;corpCards_history
corp_cards;privilege_corpCards_statement;corpCards_statement
corp_cards;privilege_corpCards_block;corpCards_block
corp_cards;privilege_corpCards_transfer;corpCards_transfer
corp_cards;privilege_corpCards_credit;corpCards_credit
corp_cards;privilege_corpCards_edit;corpCards_edit

personal;privilege_personal;personal

fin_operations;privilege_finOperations_view;finOperations_view
fin_operations;privilege_workflow_actions;workflow_actions

dompayments;privilege_payments_view;payments_view
dompayments;privilege_payments_add;payments_add

intpayments;privilege_int_transfers_view;int_transfers_view
intpayments;privilege_int_transfers_add;int_transfers_add
intpayments;privilege_int_transfers_edit;int_transfers_edit

payment_service;privilege_payment_service_view;payment_service_view
payment_service;privilege_payment_service_add;payment_service_add
payment_service;privilege_payment_service_edit;payment_service_edit

transfers;privilege_transfers_view;transfers_view
conversion;privilege_conversion_view;conversion_view
standing_orders;privilege_standing_orders_view;standing_orders_view
other_operations;privilege_otherOperations_view;otherOperations_view
invoices;privilege_invoices_view;invoices_view
docs_sign;privilege_docsSign_view;docsSign_view
refunds;privilege_refunds_view;refunds_view
refunds;privilege_refunds_add;refunds_add

reversals;privilege_reversals_view;reversals_view
infoAndSuggestions;privilege_infoAndSuggestions_view;infoAndSuggestions_view
exchangeRate;privilege_exchangeRate_view;exchangeRate_view
statement;privilege_statement_view;statement_view

mail;privilege_message_view;message_view
mail;privilege_message_add;message_add
mail;privilege_message_sent;message_sent
mail;privilege_message_reply;message_reply

orders;privilege_demand_view;demand_view
history;privilege_history_view;history_view
history;privilege_history_excel;history_excel
handbooks;privilege_handbooks_view;handbooks_view
commonHandbooks;privilege_commonHandbooks_view;commonHandbooks_view
userHandbooks;privilege_userHandbooks_view;userHandbooks_view
dompayments;privilege_payments_edit;payments_edit
conversion;privilege_conversion_add;conversion_add
conversion;privilege_conversion_edit;conversion_edit
orders;privilege_conversion_add;demand_add
orders;privilege_conversion_edit;demand_edit

c_root;privilege_online_chat;online_chat

transfers;privilege_transfers_add;transfers_add
transfers;privilege_transfers_edit;transfers_edit
invoice;privilege_invoice_view;invoice_view
invoice;privilege_invoice_pay;invoice_pay
exposedorders;privilege_exposedorders_view;exposedorders_view
exposedorders;privilege_exposedorders_add;exposedorders_add
exposedorders;privilege_exposedorders_edit;exposedorders_edit
account;privilege_account_edit;account_edit

tasks;privilege_tasks_view;tasks_view
