name_id;full_name_id;code;is_deleted;commission_amount;provider_id;bill_request_type;external_id;image_file_name
references=name_id:translation(translation_key), full_name_id:translation(translation_key), provider_id:provider(code); keyColumns=code; actionType=modify
ps_1;ps_full_1;ps_1;0;0;kcmr;NONE;228;beeline_.png
ps_2;ps_full_2;ps_2;0;0;kcmr;COMPLEX;504;_kcell.png
ps_3;ps_full_3;ps_3;0;0;kcmr;NONE;503;Activ.png
ps_4;ps_full_4;ps_4;0;0;kcmr;NONE;462;tele2.png
ps_5;ps_full_5;ps_5;0;0;kcmr;NONE;682;altel.png
ps_6;ps_full_6;ps_6;0;40;kcmr;NONE;769;KazaqTelecom.png
ps_7;ps_full_7;ps_7;0;40;kcmr;NONE;461;Beeline Home.png
ps_8;ps_full_8;ps_8;0;40;kcmr;NONE;538;
ps_9;ps_full_9;ps_9;0;40;kcmr;NONE;540;Twincomm_network.png
ps_10;ps_full_10;ps_10;0;40;kcmr;NONE;708;
ps_11;ps_full_11;ps_11;0;40;kcmr;NONE;463;
ps_12;ps_full_12;ps_12;0;40;kcmr;NONE;514;
ps_13;ps_full_13;ps_13;0;40;kcmr;NONE;537;
ps_14;ps_full_14;ps_14;0;40;kcmr;NONE;551;
ps_15;ps_full_15;ps_15;0;40;kcmr;NONE;541;
ps_16;ps_full_16;ps_16;0;40;kcmr;NONE;779;BeNetCom.png
ps_17;ps_full_17;ps_17;0;40;kcmr;NONE;748;
ps_18;ps_full_18;ps_18;0;40;kcmr;NONE;776;
ps_20;ps_full_20;ps_20;0;40;kcmr;NONE;531;Transtelecom.png
ps_21;ps_full_21;ps_21;0;40;kcmr;NONE;531;Transtelecom.png
ps_22;ps_full_22;ps_22;0;40;kcmr;NONE;553;200x200_almaty.png
ps_23;ps_full_23;ps_23;0;40;kcmr;NONE;533;
ps_24;ps_full_24;ps_24;0;40;kcmr;NONE;687;OTAU.png
ps_25;ps_full_25;ps_25;0;40;kcmr;NONE;535;
ps_26;ps_full_26;ps_26;0;40;kcmr;NONE;654;
ps_27;ps_full_27;ps_27;0;40;kcmr;NONE;805;
ps_28;ps_full_28;ps_28;0;40;kcmr;NONE;656;tricolor.png
ps_29;ps_full_29;ps_29;0;40;kcmr;NONE;657;ntv+ (2).png
ps_30;ps_full_30;ps_30;0;40;kcmr;NONE;8;alseco.png
ps_31;ps_full_31;ps_31;0;40;kcmr;NONE;113;IVC.png
ps_32;ps_full_32;ps_32;0;40;kcmr;NONE;651;
ps_33;ps_full_33;ps_33;0;40;kcmr;NONE;232;
ps_34;ps_full_34;ps_34;0;40;kcmr;NONE;229;
ps_35;ps_full_35;ps_35;0;40;kcmr;NONE;763;
ps_36;ps_full_36;ps_36;0;40;kcmr;NONE;782;
ps_37;ps_full_37;ps_37;0;40;kcmr;NONE;782;
ps_38;ps_full_38;ps_38;0;40;kcmr;NONE;604;
ps_39;ps_full_39;ps_39;0;40;kcmr;NONE;588;
ps_40;ps_full_40;ps_40;0;40;kcmr;NONE;618;
ps_41;ps_full_41;ps_41;0;40;kcmr;NONE;601;
ps_42;ps_full_42;ps_42;0;40;kcmr;NONE;607;
ps_43;ps_full_43;ps_43;0;40;kcmr;NONE;650;
ps_44;ps_full_44;ps_44;0;40;kcmr;NONE;623;
ps_45;ps_full_45;ps_45;0;40;kcmr;NONE;762;
ps_46;ps_full_46;ps_46;0;40;kcmr;NONE;794;
ps_47;ps_full_47;ps_47;0;40;kcmr;NONE;608;
ps_48;ps_full_48;ps_48;0;40;kcmr;NONE;591;
ps_49;ps_full_49;ps_49;0;40;kcmr;NONE;592;
ps_50;ps_full_50;ps_50;0;40;kcmr;NONE;593;
ps_51;ps_full_51;ps_51;0;40;kcmr;NONE;594;
ps_52;ps_full_52;ps_52;0;40;kcmr;NONE;598;
ps_54;ps_full_54;ps_54;0;40;kcmr;NONE;621;
ps_53;ps_full_53;ps_53;0;40;kcmr;NONE;599;
ps_53;ps_full_53;ps_53;0;40;kcmr;NONE;599;
ps_55;ps_full_55;ps_55;0;40;kcmr;NONE;622;
ps_56;ps_full_56;ps_56;0;40;kcmr;NONE;624;
ps_57;ps_full_57;ps_57;0;40;kcmr;NONE;625;
ps_58;ps_full_58;ps_58;0;40;kcmr;NONE;630;
ps_59;ps_full_59;ps_59;0;40;kcmr;NONE;635;
ps_60;ps_full_60;ps_60;0;40;kcmr;NONE;643;
ps_61;ps_full_61;ps_61;0;40;kcmr;NONE;638;
ps_62;ps_full_62;ps_62;0;40;kcmr;NONE;637;
ps_63;ps_full_63;ps_63;0;40;kcmr;NONE;644;
ps_64;ps_full_64;ps_64;0;40;kcmr;NONE;636;
ps_65;ps_full_65;ps_65;0;40;kcmr;NONE;641;
ps_66;ps_full_66;ps_66;0;40;kcmr;NONE;639;
ps_67;ps_full_67;ps_67;0;40;kcmr;NONE;642;
ps_68;ps_full_68;ps_68;0;40;kcmr;NONE;585;
ps_69;ps_full_69;ps_69;0;40;kcmr;NONE;640;
ps_70;ps_full_70;ps_70;0;40;kcmr;NONE;645;
ps_71;ps_full_71;ps_71;0;40;kcmr;NONE;609;
ps_72;ps_full_72;ps_72;0;40;kcmr;NONE;611;
ps_73;ps_full_73;ps_73;0;40;kcmr;NONE;647;
ps_74;ps_full_74;ps_74;0;40;kcmr;NONE;604;
ps_75;ps_full_75;ps_75;0;40;kcmr;NONE;619;
