id_1;main_id;name_id;code
references=name_id:translation(translation_key), main_id:page_ms(code); keyColumns=code

1001;null;m_root;m_root
1002;m_root;m_clientdata;m_clientdata
1003;m_clientdata;m_accounts;m_accounts
1004;m_clientdata;m_deposits;m_deposits
1005;m_clientdata;m_credits;m_credits
1007;m_clientdata;m_corp_cards;m_corp_cards
1008;m_clientdata;m_documents;m_documents
1009;m_clientdata;m_transfers;m_transfers
1010;m_clientdata;m_convertion;m_convertion
1011;m_clientdata;m_standing_orders;m_standing_orders
1012;m_clientdata;m_cl_orders;m_cl_orders

1013;m_root;m_handbooks;m_handbooks
1014;m_handbooks;m_bank_hb;m_bank_hb
1017;m_bank_hb;m_calendars;m_calendars
1015;m_handbooks;m_system_hb;m_system_hb
1016;m_handbooks;m_constants;m_constants
1018;m_handbooks;m_access;m_access
1019;m_handbooks;m_constructor;m_constructor

1020;m_root;m_management;m_management
1021;m_management;m_users;m_users
1022;m_management;m_managers;m_managers
1023;m_management;m_event_history;m_event_history
1024;m_management;m_sessions;m_sessions
1025;m_management;m_requests;m_requests
1028;m_management;m_otp_tokens;m_otp_tokens

1029;m_root;m_letters;m_letters
1030;m_root;m_news;m_news
1031;m_handbooks;m_signaturerules;m_signaturerules
1032;m_management;m_quick_link;m_quick_link

1033;m_handbooks;provider_service_payment_services;m_provider_service
