category_id;service_id
references=category_id:provider_category(code), service_id:provider_service(code)
cellular_communication;ps_1
cellular_communication;ps_2
cellular_communication;ps_3
cellular_communication;ps_4
cellular_communication;ps_5
internet_and_ip;ps_6
internet_and_ip;ps_7
internet_and_ip;ps_8
internet_and_ip;ps_9
internet_and_ip;ps_10
internet_and_ip;ps_11
internet_and_ip;ps_12
internet_and_ip;ps_13
internet_and_ip;ps_14
internet_and_ip;ps_15
internet_and_ip;ps_16
internet_and_ip;ps_17
internet_and_ip;ps_18
internet_and_ip;ps_20
internet_and_ip;ps_21
tv;ps_22
tv;ps_23
tv;ps_24
tv;ps_25
tv;ps_26
tv;ps_27
tv;ps_28
tv;ps_29
communal_payments;ps_30
communal_payments;ps_31
communal_payments;ps_32
communal_payments;ps_33
communal_payments;ps_34
communal_payments;ps_35
communal_payments;ps_36
communal_payments;ps_37
communal_payments;ps_38
communal_payments;ps_39
communal_payments;ps_40
communal_payments;ps_41
communal_payments;ps_42
communal_payments;ps_43
communal_payments;ps_44
communal_payments;ps_45
communal_payments;ps_46
communal_payments;ps_47
communal_payments;ps_48
communal_payments;ps_49
communal_payments;ps_50
communal_payments;ps_51
communal_payments;ps_52
communal_payments;ps_53
communal_payments;ps_54
communal_payments;ps_55
communal_payments;ps_56
communal_payments;ps_57
communal_payments;ps_58
communal_payments;ps_59
communal_payments;ps_60
communal_payments;ps_61
communal_payments;ps_62
communal_payments;ps_63
communal_payments;ps_64
communal_payments;ps_65
communal_payments;ps_66
communal_payments;ps_67
communal_payments;ps_68
communal_payments;ps_69
communal_payments;ps_70
communal_payments;ps_71
communal_payments;ps_72
communal_payments;ps_73
communal_payments;ps_74
communal_payments;ps_75
communal_payments;ps_76
communal_payments;ps_77
communal_payments;ps_78
communal_payments;ps_79
communal_payments;ps_80
communal_payments;ps_82
communal_payments;ps_83
communal_payments;ps_84
communal_payments;ps_85
communal_payments;ps_86
communal_payments;ps_87
communal_payments;ps_88
communal_payments;ps_89
communal_payments;ps_90
communal_payments;ps_91
communal_payments;ps_92
communal_payments;ps_93
communal_payments;ps_94
communal_payments;ps_95
communal_payments;ps_96
communal_payments;ps_97
communal_payments;ps_98
communal_payments;ps_99
communal_payments;ps_100
communal_payments;ps_101
tourism;ps_102
tourism;ps_103
traffic_fines;ps_104
traffic_fines;ps_105
traffic_fines;ps_106
online_games;ps_107
online_games;ps_108
online_games;ps_109
online_games;ps_110
online_games;ps_111
online_games;ps_112
online_games;ps_113
online_games;ps_114
online_games;ps_115
online_games;ps_116
online_games;ps_117
online_games;ps_119
online_games;ps_120
online_games;ps_121
online_games;ps_122
online_games;ps_123
online_games;ps_124
online_games;ps_125
online_games;ps_126
online_games;ps_127
online_games;ps_128
online_games;ps_129
online_games;ps_130
online_games;ps_131
online_games;ps_132
online_games;ps_133
online_games;ps_134
online_games;ps_135
online_games;ps_136
online_games;ps_137
online_games;ps_138
online_games;ps_139
online_games;ps_140
online_games;ps_141
online_games;ps_142
online_games;ps_143
online_games;ps_144
online_games;ps_145
online_games;ps_146
online_games;ps_147
online_games;ps_148
online_games;ps_149
online_games;ps_150
online_games;ps_151
online_games;ps_152
online_games;ps_153
online_games;ps_154
online_games;ps_155
online_games;ps_156
online_games;ps_157
bookmakers;ps_158
bookmakers;ps_159
bookmakers;ps_160
bookmakers;ps_161
electronic_money;ps_162
cuppons;ps_163
cuppons;ps_164
cuppons;ps_165
online_stores;ps_166
online_stores;ps_167
online_stores;ps_168
online_stores;ps_169
security_services;ps_170
security_services;ps_171
security_services;ps_172
security_services;ps_173
security_services;ps_174
security_services;ps_175
security_services;ps_176
security_services;ps_177
security_services;ps_178
security_services;ps_179
security_services;ps_180
сosmetics;ps_181
сosmetics;ps_182
сosmetics;ps_183
сosmetics;ps_184
сosmetics;ps_185
