id_1;page_id;name_id;code
references=name_id:translation(translation_key), page_id:page_ms(code); keyColumns=code
1;m_root;m_root_view;m_root_view
2;m_clientdata;m_clientdata_view;m_clientdata_view
3;m_accounts;m_account_view;m_account_view
4;m_accounts;m_account_history;m_account_history
12;m_documents;m_documents_view;m_documents_view
13;m_transfers;m_transfers_view;m_transfers_view
13;m_refund;refunds.title;m_refund_view
14;m_convertion;m_convertion_view;m_convertion_view
16;m_cl_orders;m_cl_orders_view;m_cl_orders_view

17;m_handbooks;m_handbooks_view;m_handbooks_view
18;m_bank_hb;m_bank_hb_view;m_bank_hb_view
19;m_bank_hb;m_bank_hb_edit;m_bank_hb_edit
20;m_calendars;m_calendars_view;m_calendars_view
21;m_calendars;m_calendars_add;m_calendars_add
22;m_calendars;m_calendars_edit;m_calendars_edit
23;m_system_hb;m_system_hb_view;m_system_hb_view
24;m_system_hb;m_system_hb_edit;m_system_hb_edit
25;m_constants;m_constants_view;m_constants_view
26;m_constants;m_constants_edit;m_constants_edit
27;m_access;m_access_view;m_access_view
28;m_access;m_access_edit;m_access_edit
29;m_constructor;m_constructor_view;m_constructor_view
30;m_constructor;m_constructor_edit;m_constructor_edit

31;m_management;m_management_view;m_management_view
32;m_users;m_users_view;m_users_view
33;m_users;m_users_add;m_users_add
34;m_users;m_users_edit;m_users_edit
35;m_users;m_users_password;m_users_password
36;m_users;m_users_status;m_users_status
37;m_managers;m_managers_view;m_managers_view
38;m_managers;m_managers_add;m_managers_add
39;m_managers;m_managers_edit;m_managers_edit
40;m_managers;m_managers_password;m_managers_password
41;m_managers;m_managers_status;m_managers_status
42;m_event_history;m_events_history_view;m_events_history_view
43;m_sessions;m_sessions_view;m_sessions_view
44;m_sessions;m_sessions_deactivate;m_sessions_deactivate
45;m_requests;m_requests_view;m_requests_view
46;m_organisations;m_organisations_view;m_organisations_view
47;m_organisations;m_organisations_add;m_organisations_add
48;m_organisations;m_organisations_edit;m_organisations_edit
49;m_organisations;m_organisations_delete;m_organisations_delete
50;m_auth_persons;m_auth_persons_view;m_auth_persons_view
51;m_auth_persons;m_auth_persons_add;m_auth_persons_add
52;m_auth_persons;m_auth_persons_edit;m_auth_persons_edit
53;m_otp_tokens;m_otp_tokens_view;m_otp_tokens_view
54;m_otp_tokens;m_otp_tokens_import;m_otp_tokens_import

55;m_letters;m_message_view;m_message_view
56;m_letters;m_message_add;m_message_add
57;m_letters;m_message_reply;m_message_reply
62;m_letters;m_message_sent;m_message_sent

58;m_news;m_news_view;m_news_view
60;m_news;m_news_add;m_news_add
61;m_constructor;m_constructor_add;m_constructor_add

63;m_signaturerules;m_singanurerule_view;m_singanurerule_view
64;m_signaturerules;m_singanurerule_add;m_singanurerule_add
65;m_signaturerules;m_singanurerule_edit;m_singanurerule_edit
66;m_signaturerules;m_singanurerule_delete;m_singanurerule_delete
67;m_quick_link;m_quicklink_edit;m_quicklink_edit
68;m_signaturerules;m_cert_reissuing;m_cert_reissuing
69;m_root;privilege_online_chat;m_online_chat_view

