role_id;privilege_id
references= privilege_id:manager_privilege(code), role_id:manager_role(code)
userAdmin;m_refund_view
userAdmin;m_root_view
userAdmin;m_clientdata_view
userAdmin;m_account_view
userAdmin;m_account_history
userAdmin;m_deposits_view
userAdmin;m_deposits_history
userAdmin;m_credits_view
userAdmin;m_credits_history
userAdmin;m_corpCards_view
userAdmin;m_corpCards_blocked
userAdmin;m_corpCards_history
userAdmin;m_documents_view
userAdmin;m_transfers_view
userAdmin;m_exposed_orders_view
userAdmin;m_convertion_view
userAdmin;m_standing_orders_view
userAdmin;m_cl_orders_view
userAdmin;m_document_withdraws_view
userAdmin;m_handbooks_view
userAdmin;m_bank_hb_view
userAdmin;m_bank_hb_edit
userAdmin;m_calendars_view
userAdmin;m_calendars_add
userAdmin;m_calendars_edit
userAdmin;m_system_hb_view
userAdmin;m_system_hb_edit
userAdmin;m_constants_view
userAdmin;m_constants_edit
userAdmin;m_access_view
userAdmin;m_access_edit
userAdmin;m_constructor_view
userAdmin;m_constructor_edit
userAdmin;m_management_view
userAdmin;m_users_view
userAdmin;m_users_add
userAdmin;m_users_edit
userAdmin;m_users_password
userAdmin;m_users_status
userAdmin;m_managers_view
userAdmin;m_managers_add
userAdmin;m_managers_edit
userAdmin;m_managers_password
userAdmin;m_managers_status
userAdmin;m_events_history_view
userAdmin;m_sessions_view
userAdmin;m_sessions_deactivate
userAdmin;m_requests_view
userAdmin;m_organisations_view
userAdmin;m_organisations_add
userAdmin;m_organisations_edit
userAdmin;m_organisations_delete
userAdmin;m_auth_persons_view
userAdmin;m_auth_persons_add
userAdmin;m_auth_persons_edit
userAdmin;m_otp_tokens_view
userAdmin;m_otp_tokens_import
userAdmin;m_message_view
userAdmin;m_message_add
userAdmin;m_message_reply
userAdmin;m_news_view
userAdmin;m_news_add
userAdmin;m_constructor_add
userAdmin;m_message_sent
userAdmin;m_online_chat_view
customerAdmin;m_refund_view
customerAdmin;m_clientdata_view
customerAdmin;m_root_view
customerAdmin;m_deposits_view
customerAdmin;m_credits_view
customerAdmin;m_credits_history
customerAdmin;m_corpCards_blocked
customerAdmin;m_account_history
customerAdmin;m_account_view
customerAdmin;m_corpCards_view
customerAdmin;m_deposits_history
customerAdmin;m_corpCards_history
customerAdmin;m_convertion_view
customerAdmin;m_transfers_view
customerAdmin;m_exposed_orders_view
customerAdmin;m_standing_orders_view
customerAdmin;m_documents_view
customerAdmin;m_access_view
customerAdmin;m_constructor_view
customerAdmin;m_constants_view
customerAdmin;m_bank_hb_view
customerAdmin;m_handbooks_view
customerAdmin;m_calendars_view
customerAdmin;m_system_hb_view
customerAdmin;m_users_password
customerAdmin;m_users_edit
customerAdmin;m_users_status
customerAdmin;m_users_add
customerAdmin;m_events_history_view
customerAdmin;m_organisations_delete
customerAdmin;m_managers_view
customerAdmin;m_sessions_view
customerAdmin;m_organisations_view
customerAdmin;m_organisations_add
customerAdmin;m_organisations_edit
customerAdmin;m_otp_tokens_view
customerAdmin;m_otp_tokens_import
customerAdmin;m_message_view
customerAdmin;m_message_add
customerAdmin;m_message_reply
customerAdmin;m_message_sent
customerAdmin;m_news_view
customerAdmin;m_online_chat_view
supportAdmin;m_refund_view
supportAdmin;m_deposits_view
supportAdmin;m_deposits_history
supportAdmin;m_account_history
supportAdmin;m_clientdata_view
supportAdmin;m_credits_view
supportAdmin;m_root_view
supportAdmin;m_account_view
supportAdmin;m_credits_history
supportAdmin;m_corpCards_view
supportAdmin;m_corpCards_history
supportAdmin;m_corpCards_blocked
supportAdmin;m_documents_view
supportAdmin;m_transfers_view
supportAdmin;m_exposed_orders_view
supportAdmin;m_convertion_view
supportAdmin;m_standing_orders_view
supportAdmin;m_cl_orders_view
supportAdmin;m_document_withdraws_view
supportAdmin;m_calendars_view
supportAdmin;m_bank_hb_view
supportAdmin;m_handbooks_view
supportAdmin;m_system_hb_view
supportAdmin;m_access_view
supportAdmin;m_constants_view
supportAdmin;m_constructor_view
supportAdmin;m_management_view
supportAdmin;m_users_view
supportAdmin;m_managers_view
supportAdmin;m_events_history_view
supportAdmin;m_sessions_view
supportAdmin;m_requests_view
supportAdmin;m_organisations_view
supportAdmin;m_auth_persons_view
supportAdmin;m_otp_tokens_view
supportAdmin;m_message_view
supportAdmin;m_news_view
supportAdmin;m_online_chat_view
contentAdmin;m_refund_view
contentAdmin;m_root_view
contentAdmin;m_news_view
contentAdmin;m_message_view
contentAdmin;m_news_add
contentAdmin;m_message_add
contentAdmin;m_message_sent
contentAdmin;m_message_reply
contentAdmin;m_online_chat_view
userAdmin;m_singanurerule_view
userAdmin;m_singanurerule_add
userAdmin;m_singanurerule_edit
userAdmin;m_singanurerule_delete
userAdmin;m_quicklink_edit
securityAdmin;m_cert_reissuing
securityAdmin;m_constructor_view
securityAdmin;m_auth_persons_view
securityAdmin;m_requests_view
securityAdmin;m_constructor_edit
securityAdmin;m_sessions_view
securityAdmin;m_calendars_edit
securityAdmin;m_bank_hb_view
securityAdmin;m_managers_status
securityAdmin;m_events_history_view
securityAdmin;m_access_view
securityAdmin;m_sessions_deactivate
securityAdmin;m_message_add
securityAdmin;m_system_hb_view
securityAdmin;m_message_sent
securityAdmin;m_managers_add
securityAdmin;m_calendars_view
securityAdmin;m_constants_view
securityAdmin;m_constructor_add
securityAdmin;m_auth_persons_add
securityAdmin;m_users_status
securityAdmin;m_singanurerule_edit
securityAdmin;m_organisations_edit
securityAdmin;m_news_view
securityAdmin;m_management_view
securityAdmin;m_users_add
securityAdmin;m_managers_edit
securityAdmin;m_news_add
securityAdmin;m_users_view
securityAdmin;m_organisations_view
securityAdmin;m_system_hb_edit
securityAdmin;m_organisations_delete
securityAdmin;m_calendars_add
securityAdmin;m_otp_tokens_import
securityAdmin;m_handbooks_view
securityAdmin;m_message_view
securityAdmin;m_constants_edit
securityAdmin;m_users_edit
securityAdmin;m_organisations_add
securityAdmin;m_singanurerule_view
securityAdmin;m_otp_tokens_view
securityAdmin;m_singanurerule_delete
securityAdmin;m_managers_view
securityAdmin;m_managers_password
securityAdmin;m_message_reply
securityAdmin;m_auth_persons_edit
securityAdmin;m_singanurerule_add
securityAdmin;m_users_password
securityAdmin;m_access_edit
securityAdmin;m_bank_hb_edit
securityAdmin;m_refund_view
securityAdmin;m_online_chat_view
