page_id;name_id;code
references=name_id:translation(translation_key), page_id:page_ms(code); keyColumns=code
m_root;m_root_view;m_root_view
m_clientdata;m_clientdata_view;m_clientdata_view
m_accounts;m_account_view;m_account_view
m_accounts;m_account_history;m_account_history
m_deposits;m_deposits_view;m_deposits_view
m_deposits;m_deposits_history;m_deposits_history
m_credits;m_credits_view;m_credits_view
m_credits;m_credits_history;m_credits_history
m_corp_cards;m_corpCards_view;m_corpCards_view
m_corp_cards;m_corpCards_blocked;m_corpCards_blocked
m_corp_cards;m_corpCards_history;m_corpCards_history
m_documents;m_documents_view;m_documents_view
m_transfers;m_transfers_view;m_transfers_view
m_exposed_orders;manager_exposedOrder;m_exposed_orders_view
m_refund;refunds.title;m_refund_view
m_convertion;m_convertion_view;m_convertion_view
m_standing_orders;m_standing_orders_view;m_standing_orders_view
m_cl_orders;m_cl_orders_view;m_cl_orders_view
m_document_withdraws;navigation_paymentsRevokes;m_document_withdraws_view

m_handbooks;m_handbooks_view;m_handbooks_view
m_bank_hb;m_bank_hb_view;m_bank_hb_view
m_bank_hb;m_bank_hb_edit;m_bank_hb_edit
m_calendars;m_calendars_view;m_calendars_view
m_calendars;m_calendars_add;m_calendars_add
m_calendars;m_calendars_edit;m_calendars_edit
m_system_hb;m_system_hb_view;m_system_hb_view
m_system_hb;m_system_hb_edit;m_system_hb_edit
m_constants;m_constants_view;m_constants_view
m_constants;m_constants_edit;m_constants_edit
m_access;m_access_view;m_access_view
m_access;m_access_edit;m_access_edit
m_constructor;m_constructor_view;m_constructor_view
m_constructor;m_constructor_edit;m_constructor_edit

m_management;m_management_view;m_management_view
m_users;m_users_view;m_users_view
m_users;m_users_add;m_users_add
m_users;m_users_edit;m_users_edit
m_users;m_users_password;m_users_password
m_users;m_users_status;m_users_status
m_managers;m_managers_view;m_managers_view
m_managers;m_managers_add;m_managers_add
m_managers;m_managers_edit;m_managers_edit
m_managers;m_managers_password;m_managers_password
m_managers;m_managers_status;m_managers_status
m_event_history;m_events_history_view;m_events_history_view
m_sessions;m_sessions_view;m_sessions_view
m_sessions;m_sessions_deactivate;m_sessions_deactivate
m_requests;m_requests_view;m_requests_view
m_organisations;m_organisations_view;m_organisations_view
m_organisations;m_organisations_add;m_organisations_add
m_organisations;m_organisations_edit;m_organisations_edit
m_organisations;m_organisations_delete;m_organisations_delete
m_auth_persons;m_auth_persons_view;m_auth_persons_view
m_auth_persons;m_auth_persons_add;m_auth_persons_add
m_auth_persons;m_auth_persons_edit;m_auth_persons_edit
m_otp_tokens;m_otp_tokens_view;m_otp_tokens_view
m_otp_tokens;m_otp_tokens_import;m_otp_tokens_import

m_letters;m_message_view;m_message_view
m_letters;m_message_add;m_message_add
m_letters;m_message_reply;m_message_reply
m_letters;m_message_sent;m_message_sent

m_news;m_news_view;m_news_view
m_news;m_news_add;m_news_add
m_constructor;m_constructor_add;m_constructor_add

m_signaturerules;m_singanurerule_view;m_singanurerule_view
m_signaturerules;m_singanurerule_add;m_singanurerule_add
m_signaturerules;m_singanurerule_edit;m_singanurerule_edit
m_signaturerules;m_singanurerule_delete;m_singanurerule_delete
m_quick_link;m_quicklink_edit;m_quicklink_edit
m_signaturerules;m_cert_reissuing;m_cert_reissuing
m_root;privilege_online_chat;m_online_chat_view

